"codigop";"meio_transporte";"pais_origem_ida";"uf_origem_ida";"cidade_origem_ida";"pais_destino_ida";"uf_destino_ida";"cidade_destino_ida";"pais_origem_volta";"uf_origem_volta";"cidade_origem_volta";"pais_destino_volta";"uf_destino_volta";"cidade_destino_volta";"valor_passagem";"taxa_servico"
"0000000000015430810";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pará";"Belém";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"488,39";",00"
"0000000000015434007";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"843,17";",01"
"0000000000015434007";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"448,39";",01"
"0000000000015435008";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Ceará";"Fortaleza";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"647,39";",01"
"0000000000015435008";"Aéreo";"Brasil";"Ceará";"Fortaleza";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"534,08";",01"
"0000000000015437882";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"448,39";",01"
"0000000000015437882";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"843,17";",01"
"0000000000015442463";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"494,97";",00"
"0000000000015442463";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"702,98";",00"
"0000000000015445393";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"306,42";",00"
"0000000000015445393";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"387,26";",00"
"0000000000015447274";"Aéreo";"Brasil";"Rondônia";"Porto Velho";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"388,47";",01"
"0000000000015447274";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rondônia";"Porto Velho";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"673,39";",01"
